fecha,liq_mensual
2003-01-01,648
2003-02-01,429
2003-03-01,633
2003-04-01,866
2003-05-01,1093
2003-06-01,1159
2003-07-01,955
2003-08-01,819
2003-09-01,755
2003-10-01,828
2003-11-01,538
2003-12-01,722
2004-01-01,1006
2004-02-01,592
2004-03-01,878
2004-04-01,1134
2004-05-01,1366
2004-06-01,1231
2004-07-01,866
2004-08-01,728
2004-09-01,896
2004-10-01,690
2004-11-01,717
2004-12-01,947
2005-01-01,765
2005-02-01,777
2005-03-01,959
2005-04-01,1168
2005-05-01,1433
2005-06-01,1591
2005-07-01,1154
2005-08-01,966
2005-09-01,632
2005-10-01,660
2005-11-01,677
2005-12-01,865
2006-01-01,851
2006-02-01,754
2006-03-01,1000
2006-04-01,1190
2006-05-01,1518
2006-06-01,1260
2006-07-01,1083
2006-08-01,1002
2006-09-01,929
2006-10-01,912
2006-11-01,780
2006-12-01,991
2007-01-01,1050
2007-02-01,695
2007-03-01,1063
2007-04-01,1504
2007-05-01,1880
2007-06-01,1813
2007-07-01,1736
2007-08-01,1727
2007-09-01,1634
2007-10-01,1552
2007-11-01,1412
2007-12-01,1505
2008-01-01,1638
2008-02-01,1614
2008-03-01,1353
2008-04-01,2311
2008-05-01,2401
2008-06-01,1646
2008-07-01,2807
2008-08-01,2163
2008-09-01,2007
2008-10-01,1484
2008-11-01,1132
2008-12-01,1358
2009-01-01,1553
2009-02-01,1112
2009-03-01,1009
2009-04-01,1827
2009-05-01,2184
2009-06-01,1924
2009-07-01,1358
2009-08-01,1122
2009-09-01,1102
2009-10-01,1122
2009-11-01,1084
2009-12-01,796
2010-01-01,994
2010-02-01,1021
2010-03-01,1310
2010-04-01,2262
2010-05-01,2289
2010-06-01,2693
2010-07-01,2560
2010-08-01,1880
2010-09-01,2031
2010-10-01,1931
2010-11-01,1647
2010-12-01,1609
2011-01-01,1430
2011-02-01,1193
2011-03-01,1817
2011-04-01,2613
2011-05-01,3203
2011-06-01,2951
2011-07-01,2248
2011-08-01,2571
2011-09-01,2238
2011-10-01,1962
2011-11-01,1328
2011-12-01,1473
2012-01-01,1700
2012-02-01,1221
2012-03-01,1770
2012-04-01,2350
2012-05-01,2642
2012-06-01,2301
2012-07-01,2586
2012-08-01,2093
2012-09-01,1727
2012-10-01,1694
2012-11-01,1441
2012-12-01,1537
2013-01-01,1356
2013-02-01,919
2013-03-01,1727
2013-04-01,2988
2013-05-01,3443
2013-06-01,2569
2013-07-01,2588
2013-08-01,2069
2013-09-01,1892
2013-10-01,1370
2013-11-01,1228
2013-12-01,1251
2014-01-01,1394
2014-02-01,1641
2014-03-01,1587
2014-04-01,3179
2014-05-01,3108
2014-06-01,2705
2014-07-01,3012
2014-08-01,1793
2014-09-01,1293
2014-10-01,1888
2014-11-01,1872
2014-12-01,1743
2015-01-01,1086
2015-02-01,1391
2015-03-01,1177
2015-04-01,2430
2015-05-01,2358
2015-06-01,2950
2015-07-01,2645
2015-08-01,1511
2015-09-01,1164
2015-10-01,1141
2015-11-01,450
2015-12-01,2096
2016-01-01,2477
2016-02-01,1646
2016-03-01,1724
2016-04-01,2147
2016-05-01,3006
2016-06-01,2068
2016-07-01,1866
2016-08-01,2478
2016-09-01,1787
2016-10-01,1706
2016-11-01,1598
2016-12-01,1400
2017-01-01,2050
2017-02-01,1083
2017-03-01,1672
2017-04-01,1821
2017-05-01,2488
2017-06-01,2245
2017-07-01,2229
2017-08-01,2256
2017-09-01,1650
2017-10-01,1422
2017-11-01,1307
2017-12-01,1153
2018-01-01,1879
2018-02-01,1378
2018-03-01,1423
2018-04-01,1376
2018-05-01,1677
2018-06-01,2664
2018-07-01,2701
2018-08-01,1604
2018-09-01,1310
2018-10-01,1184
2018-11-01,810
2018-12-01,1040
2019-01-01,1755
2019-02-01,1290
2019-03-01,1143
2019-04-01,1914
2019-05-01,2395
2019-06-01,2218
2019-07-01,2273
2019-08-01,2246
2019-09-01,2093
2019-10-01,1978
2019-11-01,2185
2019-12-01,2223
2020-01-01,1613
2020-02-01,815
2020-03-01,1064
2020-04-01,1524
2020-05-01,1945
2020-06-01,2343
2020-07-01,2296
2020-08-01,1743
2020-09-01,1787
2020-10-01,1715
2020-11-01,1734
2020-12-01,1667
2021-01-01,2140
2021-02-01,1810
2021-03-01,2773
2021-04-01,3031
2021-05-01,3545
2021-06-01,3358
2021-07-01,3520
2021-08-01,3049
2021-09-01,2441
2021-10-01,2416
2021-11-01,1914
2021-12-01,2678
2022-01-01,2441
2022-02-01,2500
2022-03-01,2984
2022-04-01,3171
2022-05-01,4231
2022-06-01,3815
2022-07-01,3164
2022-08-01,3387
2022-09-01,8120
2022-10-01,1217
2022-11-01,1696
2022-12-01,3706
2023-01-01,928
2023-02-01,644
2023-03-01,1228
2023-04-01,2435
2023-05-01,4212
2023-06-01,1581
2023-07-01,1925
2023-08-01,1746
2023-09-01,2045
2023-10-01,743
2023-11-01,1003
2023-12-01,1244
2024-01-01,1522
2024-02-01,1499
2024-03-01,1501
2024-04-01,1909
2024-05-01,2612
2024-06-01,1977
2024-07-01,2616
2024-08-01,2355
2024-09-01,2480
2024-10-01,2553
2024-11-01,1999
2024-12-01,1966
2025-01-01,2073
2025-02-01,2181
